
우리나라기후평년값
[검색조건]
검색구분 : 일별평년값
, 지점명 : 전체
, 기간 : 1991~2020년 01월 01일~01월 31일
지점명,지점번호,일시,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),전운량(1/10),소형증발량(mm),현지기압(hPa),해면기압(hPa),평균풍속(m/sec)
대전,133,01-05,      -0.9,       4.3,      -5.5,       1.2,      65.3,       5.4,       4.3,       1.0,    1016.2,    1025.0,       1.5
추풍령,135,01-05,      -1.6,       3.1,      -6.0,       1.0,      60.1,       5.7,,,     993.5,    1024.5,       3.6
안동,136,01-05,      -1.8,       4.1,      -7.2,       0.7,      58.9,       6.2,       3.4,       1.6,    1006.2,    1024.2,       1.7
상주,137,01-05,      -0.9,       4.0,      -5.4,       0.8,      53.9,       6.2,,,    1012.2,    1024.6,       2.4
포항,138,01-05,       2.5,       7.0,      -1.2,       1.4,      47.1,       6.2,       3.2,       2.4,    1022.3,    1022.8,       2.8
군산,140,01-05,       0.1,       4.4,      -3.6,       1.5,      71.7,       5.2,,,    1021.6,    1025.0,       2.9
울산,152,01-05,       2.7,       7.9,      -1.6,       1.2,      46.4,       6.2,       3.3,,    1017.5,    1022.5,       2.1
창원,155,01-05,       2.9,       7.4,      -0.9,       1.1,      46.8,       5.9,       3.1,,    1020.1,    1022.9,       2.0
광주,156,01-05,       1.4,       6.1,      -2.6,       1.2,      65.3,       5.5,       4.7,,    1015.5,    1024.6,       1.9
부산,159,01-05,       4.0,       8.7,       0.4,       1.2,      44.7,       6.4,       3.2,       2.1,    1013.7,    1022.4,       3.5
통영,162,01-05,       3.6,       8.6,      -0.4,       1.2,      52.2,       6.3,,,    1019.3,    1023.3,       2.5
목포,165,01-05,       2.3,       6.4,      -1.0,       1.0,      70.0,       5.0,       5.2,       1.4,    1019.5,    1024.8,       4.2
여수,168,01-05,       3.3,       7.2,       0.2,       1.0,      51.5,       6.3,       3.4,       2.5,    1014.9,    1023.4,       4.9
흑산도,169,01-05,       3.9,       6.2,       2.1,       0.9,      70.3,       3.3,       6.1,,    1014.9,    1024.7,       6.8
완도,170,01-05,       3.2,       7.0,      -0.1,       1.0,      63.9,       4.9,,,    1020.4,    1024.2,       4.2
고창,172,01-05,       0.3,       5.2,      -4.5,       1.1,      77.7,       5.3,,,    1019.0,    1025.6,       2.5
제주,184,01-05,       6.8,       9.5,       4.2,       1.8,      63.1,       2.7,       6.6,       1.8,    1021.7,    1024.4,       4.1
고산,185,01-05,       6.8,       9.3,       4.4,       1.0,      66.7,       3.4,,,    1014.5,    1023.4,       9.5
성산,188,01-05,       6.0,       9.7,       2.6,       1.9,      66.6,       4.4,,,    1021.5,    1023.8,       3.2
서귀포,189,01-05,       8.0,      11.6,       4.9,       1.7,      63.3,       4.9,       5.4,       1.9,    1016.4,    1022.7,       2.5
진주,192,01-05,       0.4,       7.6,      -5.5,       1.1,      57.1,       6.2,,,    1020.1,    1023.4,       1.3
강화,201,01-05,      -3.2,       1.8,      -8.0,       0.9,      65.2,       5.8,,,    1019.4,    1025.4,       1.6
양평,202,01-05,      -3.5,       2.3,      -8.6,       1.1,      68.1,       5.5,,,    1019.2,    1025.4,       1.2
이천,203,01-05,      -3.1,       2.7,      -8.6,       1.2,      64.1,       5.5,,,    1015.1,    1025.0,       1.1
인제,211,01-05,      -4.7,       1.6,     -10.3,       0.9,      65.0,       5.1,,,     999.1,    1024.8,       1.7
홍천,212,01-05,      -4.9,       2.0,     -10.5,       1.0,      66.6,       5.2,,,    1007.1,    1025.4,       0.9
태백,216,01-05,      -4.4,       1.2,      -9.3,       0.9,      56.2,       5.5,,,     935.1,    1022.9,       1.6
정선군,217,01-05,      -4.0,       2.5,      -9.4,       1.3,      63.4,       5.2,,,     986.5,    1025.5,       1.3
제천,221,01-05,      -4.9,       1.7,     -10.8,       1.3,      68.9,       5.6,,,     991.9,    1025.2,       1.4
보은,226,01-05,      -2.9,       3.5,      -8.5,       1.1,      66.2,       5.3,,,    1002.5,    1024.6,       1.5
천안,232,01-05,      -2.3,       3.3,      -7.5,       1.2,      69.3,       5.0,,,    1021.0,    1025.1,       1.6
보령,235,01-05,       0.0,       4.7,      -4.2,       1.3,      69.2,       5.0,,,    1022.7,    1025.1,       1.7
부여,236,01-05,      -1.4,       4.6,      -6.6,       1.4,      71.7,       5.1,,,    1023.6,    1025.3,       1.0
금산,238,01-05,      -2.3,       4.4,      -8.0,       1.3,      69.9,       5.4,,,    1003.5,    1025.3,       1.1
부안,243,01-05,      -0.1,       4.9,      -4.6,       1.5,      74.3,       4.8,,,    1024.0,    1025.3,       1.3
임실,244,01-05,      -2.3,       4.4,      -8.0,       1.2,      72.6,       5.0,,,     994.1,    1025.4,       1.2
정읍,245,01-05,       0.1,       5.1,      -4.3,       1.5,      72.5,       4.6,,,    1019.2,    1025.1,       1.0
남원,247,01-05,      -1.2,       5.5,      -6.7,       1.1,      69.6,       5.4,,,    1012.2,    1025.0,       1.4
장수,248,01-05,      -2.7,       3.7,      -8.4,       1.5,      70.7,       5.2,,,     974.2,    1025.2,       1.8
영광군,252,01-05,      -0.1,       4.9,      -4.7,       1.1,      73.3,       5.4,,,    1020.4,    1025.2,       2.0
김해시,253,01-05,       2.5,       7.8,      -1.8,       1.1,      43.7,       6.9,,,    1016.5,    1023.9,       2.5
순창군,254,01-05,      -1.3,       5.0,      -6.7,       1.6,      69.2,       5.6,,,    1009.3,    1025.5,       1.5
양산시,257,01-05,       2.6,       8.3,      -2.3,       0.9,      47.5,       6.6,,,    1022.3,    1024.1,       1.9
강진군,259,01-05,       1.8,       6.5,      -2.5,       1.5,      65.0,       5.5,,,    1023.4,    1025.0,       2.8
장흥,260,01-05,       1.5,       7.0,      -3.6,       1.0,      65.0,       5.3,,,    1018.8,    1024.3,       2.5
해남,261,01-05,       1.8,       6.9,      -3.1,       0.9,      68.7,       5.2,,,    1022.5,    1024.7,       2.4
고흥,262,01-05,       2.1,       7.6,      -3.1,       0.9,      61.0,       5.4,,,    1017.6,    1024.2,       2.0
의령군,263,01-05,      -0.6,       7.8,      -6.7,       1.2,      66.2,       6.6,,,    1022.3,    1024.1,       0.9
함양군,264,01-05,      -0.1,       6.9,      -6.0,       1.4,      63.8,       6.4,,,    1005.5,    1024.6,       1.6
진도군,268,01-05,       2.4,       6.5,      -1.7,       0.6,,,,,,,       2.7
봉화,271,01-05,      -4.0,       3.3,     -10.7,       0.9,      63.4,       5.9,,,     983.4,    1023.5,       1.5
영주,272,01-05,      -2.1,       2.9,      -7.4,       1.1,      58.7,       5.9,,,     997.3,    1023.7,       3.7
문경,273,01-05,      -1.5,       3.6,      -6.2,       0.9,      55.0,       5.3,,,    1002.4,    1024.1,       2.3
청송군,276,01-05,      -2.9,       4.3,      -9.3,       1.1,      60.3,       6.0,,,     998.4,    1024.6,       1.3
영덕,277,01-05,       1.3,       6.0,      -2.8,       1.4,      49.7,       6.2,,,    1017.5,    1023.0,       3.2
의성,278,01-05,      -3.1,       4.9,      -9.8,       0.6,      64.6,       5.6,,,    1014.2,    1024.3,       1.2
구미,279,01-05,      -0.6,       5.0,      -5.5,       0.8,      59.4,       5.3,,,    1018.3,    1024.3,       1.8
영천,281,01-05,      -0.4,       5.6,      -5.9,       1.0,      55.8,       5.2,,,    1012.0,    1023.7,       2.3
경주시,283,01-05,       0.7,       6.6,      -4.7,       1.5,      52.6,       6.4,,,    1019.0,    1023.8,       2.7
경주시,283,01-05,       0.7,       6.6,      -4.7,       1.5,      52.6,       6.4,,,    1019.0,    1023.8,       2.7
거창,284,01-05,      -1.1,       5.9,      -7.2,       1.1,      60.6,       6.1,,,     996.0,    1024.3,       1.4
합천,285,01-05,      -0.1,       7.4,      -5.9,       0.8,      60.1,       6.1,,,    1020.1,    1024.2,       1.1
밀양,288,01-05,       0.5,       7.7,      -5.6,       0.9,      58.1,       6.0,,,    1022.2,    1023.7,       1.2
산청,289,01-05,       0.7,       6.7,      -4.4,       1.1,      53.7,       5.4,,,    1006.8,    1024.4,       2.2
거제,294,01-05,       3.1,       7.9,      -1.1,       1.4,      53.0,       5.3,,,    1017.9,    1022.8,       1.7
남해,295,01-05,       2.6,       7.4,      -1.6,       1.4,      54.4,       6.1,,,    1018.3,    1024.1,       1.8
강남,400,01-05,      -1.3,       2.5,      -4.8,       0.8,,,,,,,       1.7
서초,401,01-05,      -1.2,       2.6,      -4.8,       1.0,,,,,,,       1.5
강동,402,01-05,      -2.5,       2.2,      -7.0,       0.8,,,,,,,       1.3
송파,403,01-05,      -0.9,       3.1,      -4.6,       0.8,,,,,,,       1.7
강서,404,01-05,      -1.9,       2.1,      -5.5,       0.9,,,,,,,       1.5
양천,405,01-05,      -1.2,       2.6,      -4.8,       0.9,,,,,,,       1.4
도봉,406,01-05,      -2.8,       2.3,      -7.6,       0.8,,,,,,,       1.0
노원,407,01-05,      -3.4,       2.4,      -8.9,       0.7,,,,,,,       1.5
동대문,408,01-05,      -1.1,       2.8,      -4.9,       0.8,,,,,,,       1.7
중랑,409,01-05,      -1.5,       2.4,      -5.3,       1.0,,,,,,,       1.8
기상청,410,01-05,      -1.4,       2.6,      -4.7,       0.9,,,,,,,       1.4
마포,411,01-05,      -1.3,       2.3,      -4.9,       0.7,,,,,,,       2.2
서대문,412,01-05,      -2.4,       2.2,      -6.4,       0.9,,,,,,,       1.8
광진,413,01-05,      -1.3,       2.5,      -5.0,       0.8,,,,,,,       1.8
성북,414,01-05,      -2.2,       1.8,      -6.0,       0.8,,,,,,,       1.4
용산,415,01-05,      -1.2,       2.3,      -4.8,       0.9,,,,,,,       1.5
은평,416,01-05,      -2.9,       2.1,      -7.3,       0.8,,,,,,,       1.6
금천,417,01-05,      -0.8,       2.9,      -4.0,       0.9,,,,,,,       1.6
중구,419,01-05,      -3.2,       0.6,      -6.5,       0.4,,,,,,,       2.6
성동,421,01-05,      -1.0,       2.5,      -4.4,       0.8,,,,,,,       2.0
구로,423,01-05,      -2.0,       2.4,      -6.0,       0.8,,,,,,,       1.5
강북,424,01-05,      -1.5,       2.6,      -5.3,       0.6,,,,,,,       1.6
남현,425,01-05,      -1.9,       2.2,      -5.7,       1.2,,,,,,,       1.1
부천,433,01-05,      -0.9,       3.0,      -4.5,       0.6,,,,,,,       1.1
안양,434,01-05,      -0.9,       2.9,      -4.4,       0.8,,,,,,,       2.1
광명,437,01-05,      -0.4,       3.1,      -3.7,       0.6,,,,,,,       1.8
군포,438,01-05,      -0.6,       3.4,      -4.1,       0.9,,,,,,,       1.2
김포,441,01-05,      -3.1,       1.8,      -7.4,       0.1,,,,,,,       1.3
하남,444,01-05,      -2.2,       3.1,      -6.9,       0.8,,,,,,,       0.7
의왕,445,01-05,      -2.3,       2.3,      -6.7,       0.9,,,,,,,       1.0
포천,504,01-05,      -4.6,       1.7,     -10.6,       0.8,,,,,,,       1.1
가평조종,505,01-05,      -5.4,       1.0,     -11.6,       0.8,,,,,,,       1.1
영등포,510,01-05,      -1.1,       2.5,      -4.4,       0.9,,,,,,,       1.5
인천연수,512,01-05,      -1.5,       2.7,      -5.8,       0.7,,,,,,,       1.7
안성,516,01-05,      -2.3,       2.8,      -7.6,       1.4,,,,,,,       1.0
간성,517,01-05,      -0.1,       4.3,      -5.0,       1.1,,,,,,,       2.3
평창,526,01-05,      -5.0,       1.9,     -11.0,       1.2,,,,,,,       1.1
의정부,532,01-05,      -3.6,       1.8,      -8.9,       0.8,,,,,,,       0.9
횡성,536,01-05,      -4.3,       2.2,     -10.5,       1.1,,,,,,,       1.0
고양,540,01-05,      -3.7,       2.1,      -9.1,       0.7,,,,,,,       1.2
남양주,541,01-05,      -4.1,       2.6,     -10.0,       0.9,,,,,,,       0.9
안산,545,01-05,      -3.3,       2.4,      -9.2,       0.9,,,,,,,       1.6
경기광주,546,01-05,      -3.3,       2.1,      -8.5,       1.2,,,,,,,       1.5
여주,548,01-05,      -3.8,       1.9,      -9.0,       1.0,,,,,,,       1.3
용인,549,01-05,      -3.4,       2.7,      -8.7,       1.3,,,,,,,       1.2
오산,550,01-05,      -2.8,       2.4,      -7.8,       1.1,,,,,,,       1.2
평택,551,01-05,      -1.7,       3.0,      -6.9,       1.0,,,,,,,       1.7
화천,555,01-05,      -5.6,       1.6,     -11.5,       0.7,,,,,,,       1.1
양구,556,01-05,      -5.9,       1.6,     -12.3,       0.8,,,,,,,       0.9
시흥,565,01-05,      -1.8,       2.6,      -6.4,       0.8,,,,,,,       1.4
구리,569,01-05,      -2.6,       2.4,      -7.1,       0.6,,,,,,,       1.3
금곡,570,01-05,      -3.0,       2.0,      -7.3,       0.8,,,,,,,       1.2
화성,571,01-05,      -1.7,       2.7,      -6.4,       0.9,,,,,,,       1.3
성남,572,01-05,      -2.0,       2.6,      -6.2,       1.1,,,,,,,       1.3
과천,590,01-05,      -2.4,       2.7,      -7.3,       0.9,,,,,,,       1.5
진부령,595,01-05,      -5.3,      -0.8,      -9.5,       1.1,,,,,,,       3.8
양주,598,01-05,      -5.0,       1.6,     -10.9,       0.8,,,,,,,       1.0
단양,601,01-05,      -3.2,       2.4,      -8.6,       0.7,,,,,,,       0.8
진천,602,01-05,      -2.7,       3.1,      -8.1,       1.2,,,,,,,       1.1
괴산,603,01-05,      -3.5,       3.1,      -9.7,       1.2,,,,,,,       0.9
옥천,604,01-05,      -2.2,       3.7,      -7.8,       0.9,,,,,,,       1.1
홍북,608,01-05,      -1.7,       3.3,      -6.7,       1.3,,,,,,,       1.4
세종연서,611,01-05,      -2.6,       3.7,      -8.1,       1.2,,,,,,,       1.2
공주,612,01-05,      -2.3,       3.7,      -7.4,       1.3,,,,,,,       1.2
서천,614,01-05,      -0.8,       4.3,      -5.9,       1.3,,,,,,,       1.5
논산,615,01-05,      -1.6,       4.4,      -7.4,       1.3,,,,,,,       1.3
당진,616,01-05,      -1.7,       2.9,      -6.4,       1.0,,,,,,,       2.0
청양,618,01-05,      -2.4,       3.7,      -8.3,       1.3,,,,,,,       1.2
음성,619,01-05,      -3.9,       2.6,     -10.2,       1.1,,,,,,,       1.3
증평,623,01-05,      -3.2,       2.7,      -8.6,       1.2,,,,,,,       1.0
태안,627,01-05,      -0.2,       3.6,      -4.1,       1.2,,,,,,,       1.8
예산,628,01-05,      -2.0,       3.0,      -6.5,       1.1,,,,,,,       1.7
아산,634,01-05,      -1.7,       2.9,      -6.3,       0.8,,,,,,,       1.6
계룡,636,01-05,      -2.7,       3.8,      -9.0,       1.3,,,,,,,       1.0
오월드,642,01-05,      -0.8,       4.4,      -5.1,       1.2,,,,,,,       1.0
세천,643,01-05,      -2.2,       3.7,      -7.3,       1.0,,,,,,,       1.0
장동,648,01-05,      -2.2,       3.8,      -7.0,       1.1,,,,,,,       0.9
부평,649,01-05,      -3.1,       2.6,      -8.0,       0.8,,,,,,,       0.6
연천청산,652,01-05,      -5.2,       1.6,     -11.0,       1.0,,,,,,,       0.8
양양,670,01-05,       1.1,       5.4,      -2.7,       1.2,,,,,,,       3.6
사북,674,01-05,      -5.0,      -0.3,      -9.4,       1.2,,,,,,,       2.4
무안,699,01-05,       0.9,       5.4,      -3.3,       0.9,,,,,,,       2.0
무주,701,01-05,      -2.7,       4.4,      -8.5,       0.8,,,,,,,       1.1
익산,702,01-05,      -0.3,       4.9,      -5.6,       1.3,,,,,,,       1.4
진안,703,01-05,      -2.9,       3.7,      -9.3,       1.3,,,,,,,       1.3
담양,706,01-05,       0.4,       5.9,      -5.0,       1.3,,,,,,,       1.8
광산,708,01-05,       0.8,       5.9,      -4.3,       0.9,,,,,,,       1.8
구례,709,01-05,       0.3,       6.2,      -5.2,       0.9,,,,,,,       1.8
나주,710,01-05,       0.6,       6.0,      -4.4,       1.0,,,,,,,       1.5
순천시,712,01-05,       2.9,       7.4,      -1.1,       0.8,,,,,,,       2.6
광양읍,713,01-05,       2.2,       7.6,      -2.8,       0.8,,,,,,,       2.0
조선대,722,01-05,       1.6,       6.0,      -2.2,       0.9,,,,,,,       1.9
거문도,723,01-05,       5.7,       8.1,       3.2,       1.0,,,,,,,       5.7
추자도,724,01-05,       5.8,       7.9,       3.4,       0.6,,,,,,,       5.3
장성,730,01-05,      -0.2,       5.4,      -5.1,       1.0,,,,,,,       1.5
영암,731,01-05,       1.0,       6.2,      -3.8,       0.7,,,,,,,       2.0
보성,732,01-05,       0.4,       5.7,      -5.1,       0.8,,,,,,,       2.0
완주,734,01-05,      -0.8,       5.2,      -6.4,       1.4,,,,,,,       1.5
김제,737,01-05,       0.0,       4.6,      -4.6,       1.3,,,,,,,       1.8
화순,741,01-05,       0.4,       6.0,      -4.9,       1.0,,,,,,,       1.4
함평,754,01-05,       1.3,       6.3,      -3.5,       1.0,,,,,,,       1.6
곡성,768,01-05,      -0.6,       5.5,      -5.7,       1.0,,,,,,,       1.4
성판악,782,01-05,       0.4,       3.7,      -2.4,       3.8,,,,,,,       3.6
풍암,788,01-05,       0.7,       5.9,      -3.6,       0.9,,,,,,,       1.2
압해도,789,01-05,       2.1,       6.0,      -1.4,       0.6,,,,,,,       3.3
영양,801,01-05,      -2.4,       4.2,      -8.9,       1.2,,,,,,,       1.7
성주,810,01-05,      -0.9,       5.7,      -7.7,       0.6,,,,,,,       1.4
고령,812,01-05,      -1.1,       6.5,      -7.9,       0.5,,,,,,,       0.8
청도,813,01-05,      -1.2,       6.4,      -7.3,       0.7,,,,,,,       1.4
예천,815,01-05,      -2.4,       4.4,      -8.6,       0.6,,,,,,,       1.3
김천,822,01-05,      -1.5,       4.8,      -7.6,       0.8,,,,,,,       1.4
군위,823,01-05,      -2.6,       4.3,      -9.2,       0.7,,,,,,,       1.5
칠곡,825,01-05,      -0.4,       5.5,      -6.1,       0.5,,,,,,,       2.1
경산,827,01-05,       0.6,       5.9,      -4.3,       0.7,,,,,,,       1.8
달성,828,01-05,       0.8,       6.8,      -4.3,       0.6,,,,,,,       1.7
대구서구,846,01-05,       0.9,       5.9,      -3.6,       0.7,,,,,,,       1.7
신암,860,01-05,       1.2,       6.1,      -2.9,       0.8,      50.2,       6.3,       3.3,,    1016.5,    1024.1,       2.4
완산,864,01-05,       0.3,       5.3,      -4.1,       1.4,      66.4,       5.0,       4.3,       1.0,    1017.9,    1024.8,       1.4
삼척,876,01-05,       2.1,       6.5,      -1.5,       1.3,,,,,,,       2.1
울기,901,01-05,       3.8,       7.9,       0.0,       1.1,,,,,,,       2.2
삼천포,907,01-05,       3.1,       7.2,      -1.0,       0.9,,,,,,,       2.3
영도,910,01-05,       4.2,       7.7,       0.5,       0.8,,,,,,,       2.9
고성,918,01-05,       1.9,       8.1,      -3.7,       0.7,,,,,,,       1.7
창녕,919,01-05,      -0.8,       6.8,      -7.1,       0.7,,,,,,,       1.5
함안,920,01-05,      -0.9,       7.7,      -7.4,       0.7,,,,,,,       0.9
가덕도,921,01-05,       4.5,       7.8,       1.1,       0.5,,,,,,,       4.4
기장,923,01-05,       3.4,       8.7,      -1.6,       1.3,,,,,,,       1.8
간절곶,924,01-05,       4.1,       8.2,       0.2,       1.2,,,,,,,       3.2
하동,932,01-05,       2.0,       7.7,      -3.3,       1.1,,,,,,,       1.7
해운대,937,01-05,       4.2,       9.1,       0.0,       1.0,,,,,,,       2.4
부산진,938,01-05,       3.0,       7.4,      -0.8,       1.0,,,,,,,       2.3
동래,940,01-05,       3.4,       8.2,      -0.7,       0.9,,,,,,,       2.0
북구,941,01-05,       2.4,       7.2,      -1.7,       0.8,,,,,,,       1.5
부산남구,942,01-05,       3.9,       8.0,       0.1,       0.9,,,,,,,       2.0
정자,949,01-05,       3.1,       8.2,      -1.5,       1.0,,,,,,,       3.0
속초,90,01-06,       0.5,       4.7,      -3.4,       1.9,      47.6,       5.9,,,    1019.3,    1021.6,       2.6
철원,95,01-06,      -5.9,       0.7,     -11.9,       1.3,      68.7,       5.5,,,    1005.0,    1025.0,       1.3
동두천,98,01-06,      -4.1,       2.4,      -9.4,       1.2,      61.5,       5.9,,,    1010.7,    1025.1,       1.4
파주,99,01-06,      -5.1,       1.6,     -11.2,       1.1,      66.4,       6.2,,,    1021.5,    1025.4,       1.2
대관령,100,01-06,      -6.9,      -1.3,     -12.5,       2.3,      65.9,       6.3,,,     923.6,    1023.7,       4.4
춘천,101,01-06,      -4.3,       1.6,      -9.3,       1.1,      69.7,       5.2,,,    1014.9,    1024.8,       1.1
백령도,102,01-06,      -1.0,       1.4,      -2.8,       0.8,      64.1,       4.1,       5.5,,    1008.1,    1025.8,       4.4
강릉,105,01-06,       1.2,       5.5,      -2.3,       2.0,      45.2,       6.0,,,    1018.7,    1022.1,       3.5
동해,106,01-06,       1.5,       5.8,      -2.5,       1.7,      46.6,       6.0,,,    1016.8,    1021.4,       2.7
서울,108,01-06,      -2.0,       2.1,      -5.5,       1.1,      57.3,       5.1,       3.8,       1.3,    1013.9,    1024.9,       2.3
인천,112,01-06,      -1.5,       2.2,      -4.7,       0.9,      62.2,       5.6,       3.7,       1.5,    1015.9,    1024.6,       3.2
원주,114,01-06,      -3.3,       2.2,      -8.2,       1.0,      65.2,       5.1,,,    1005.6,    1024.7,       0.9
울릉도,115,01-06,       2.3,       5.1,       0.1,       4.2,      69.0,       3.1,       7.2,       1.3,     993.4,    1020.9,       3.4
수원,119,01-06,      -2.1,       2.8,      -6.7,       1.2,      64.0,       5.4,       3.9,       1.2,    1020.5,    1025.1,       1.6
영월,121,01-06,      -3.9,       2.4,      -9.5,       1.2,      65.1,       5.7,,,     993.9,    1024.4,       1.2
충주,127,01-06,      -3.4,       2.4,      -8.5,       1.2,      68.3,       4.9,,,    1012.6,    1025.0,       1.4
서산,129,01-06,      -1.5,       3.4,      -5.9,       1.4,      71.7,       4.6,,,    1021.9,    1025.1,       2.3
울진,130,01-06,       1.7,       6.7,      -2.6,       2.1,      49.5,       6.3,,,    1015.3,    1021.6,       3.6
청주,131,01-06,      -1.5,       3.3,      -5.9,       1.3,      64.5,       5.2,       4.3,       1.1,    1017.7,    1025.0,       1.5
대전,133,01-06,      -1.1,       4.0,      -5.5,       1.4,      65.9,       5.3,       4.4,       1.0,    1016.2,    1025.0,       1.5
추풍령,135,01-06,      -1.8,       2.8,      -6.2,       1.2,      61.1,       5.6,,,     993.5,    1024.5,       3.6
안동,136,01-06,      -1.9,       3.9,      -7.3,       0.8,      60.1,       6.0,       3.5,       1.6,    1006.2,    1024.2,       1.7
상주,137,01-06,      -1.0,       3.9,      -5.4,       0.9,      54.4,       6.2,,,    1012.0,    1024.4,       2.5
포항,138,01-06,       2.4,       6.9,      -1.2,       1.7,      48.1,       6.1,       3.3,       2.4,    1022.3,    1022.7,       2.9
군산,140,01-06,       0.0,       4.2,      -3.7,       1.7,      71.9,       5.0,,,    1021.6,    1025.0,       3.0
울산,152,01-06,       2.6,       7.8,      -1.7,       1.3,      47.7,       6.1,       3.3,,    1017.4,    1022.4,       2.1
창원,155,01-06,       2.8,       7.2,      -0.9,       1.2,      47.0,       5.9,       3.1,,    1020.0,    1022.8,       2.1
광주,156,01-06,       1.3,       6.0,      -2.6,       1.4,      65.9,       5.3,       4.9,,    1015.4,    1024.6,       1.9
부산,159,01-06,       3.9,       8.6,       0.3,       1.4,      45.6,       6.4,       3.3,       2.1,    1013.6,    1022.3,       3.5
통영,162,01-06,       3.4,       8.3,      -0.5,       1.3,      52.3,       6.3,,,    1019.2,    1023.2,       2.6
목포,165,01-06,       2.1,       6.2,      -1.1,       1.1,      70.4,       4.8,       5.4,       1.3,    1019.4,    1024.7,       4.4
여수,168,01-06,       3.1,       7.0,       0.0,       1.1,      52.0,       6.3,       3.4,       2.5,    1014.9,    1023.3,       5.0
흑산도,169,01-06,       3.7,       5.9,       1.9,       0.9,      70.2,       3.0,       6.4,,    1014.9,    1024.6,       7.2
완도,170,01-06,       3.1,       6.8,      -0.2,       1.3,      64.4,       4.6,,,    1020.3,    1024.1,       4.3
고창,172,01-06,       0.6,       5.3,      -4.1,       1.2,      78.2,       4.6,,,    1018.3,    1025.0,       2.6
제주,184,01-06,       6.6,       9.3,       4.0,       2.0,      63.8,       2.4,       6.8,       1.7,    1021.7,    1024.4,       4.3
고산,185,01-06,       6.6,       9.1,       4.3,       1.1,      67.0,       3.1,,,    1014.4,    1023.3,       9.9
성산,188,01-06,       5.9,       9.4,       2.6,       3.0,      67.2,       3.9,,,    1021.4,    1023.7,       3.3
서귀포,189,01-06,       7.8,      11.4,       4.7,       2.0,      63.5,       4.7,       5.5,       1.9,    1016.3,    1022.6,       2.6
진주,192,01-06,       0.4,       7.4,      -5.5,       1.3,      57.5,       6.1,,,    1020.1,    1023.4,       1.3
강화,201,01-06,      -3.3,       1.7,      -7.9,       0.9,      65.3,       5.7,,,    1019.4,    1025.5,       1.6
양평,202,01-06,      -3.6,       2.2,      -8.7,       1.1,      68.6,       5.4,,,    1019.2,    1025.5,       1.2
이천,203,01-06,      -3.3,       2.5,      -8.7,       1.3,      64.7,       5.4,,,    1015.1,    1025.0,       1.1
인제,211,01-06,      -4.8,       1.5,     -10.3,       1.1,      65.5,       4.9,,,     999.2,    1024.8,       1.6
홍천,212,01-06,      -4.9,       1.9,     -10.5,       1.0,      66.8,       5.0,,,    1007.2,    1025.4,       0.9
태백,216,01-06,      -4.5,       1.1,      -9.5,       1.1,      58.1,       5.4,,,     935.1,    1023.0,       1.5
정선군,217,01-06,      -3.7,       2.7,      -9.0,       1.5,      63.3,       4.8,,,     985.7,    1024.7,       1.4
제천,221,01-06,      -5.0,       1.5,     -10.9,       1.3,      69.3,       5.4,,,     991.9,    1025.2,       1.4
보은,226,01-06,      -3.0,       3.3,      -8.5,       1.2,      66.7,       5.3,,,    1002.5,    1024.6,       1.5
천안,232,01-06,      -2.5,       3.1,      -7.6,       1.3,      69.9,       5.1,,,    1021.0,    1025.1,       1.7
보령,235,01-06,      -0.2,       4.4,      -4.2,       1.3,      69.4,       4.8,,,    1022.7,    1025.1,       1.8
부여,236,01-06,      -1.5,       4.4,      -6.6,       1.6,      71.8,       5.0,,,    1023.6,    1025.3,       1.0
금산,238,01-06,      -2.5,       4.2,      -8.0,       1.4,      70.3,       5.2,,,    1003.5,    1025.3,       1.1
부안,243,01-06,      -0.2,       4.7,      -4.7,       1.7,      74.7,       4.6,,,    1024.0,    1025.3,       1.3
임실,244,01-06,      -2.4,       4.2,      -8.1,       1.3,      72.9,       4.9,,,     994.1,    1025.3,       1.2
정읍,245,01-06,      -0.1,       4.8,      -4.4,       1.7,      73.1,       4.3,,,    1019.2,    1025.1,       1.1
남원,247,01-06,      -1.3,       5.3,      -6.8,       1.2,      70.1,       5.2,,,    1012.2,    1025.0,       1.4
장수,248,01-06,      -2.9,       3.4,      -8.6,       1.6,      71.2,       5.0,,,     974.1,    1025.2,       1.8
영광군,252,01-06,       0.0,       4.9,      -4.6,       1.1,      73.7,       4.8,,,    1019.9,    1024.6,       2.1
김해시,253,01-06,       2.6,       7.8,      -1.6,       1.4,      45.3,       6.5,,,    1015.8,    1023.3,       2.5
순창군,254,01-06,      -1.1,       5.0,      -6.4,       1.7,      69.8,       5.2,,,    1008.8,    1024.9,       1.6
양산시,257,01-06,       2.8,       8.3,      -2.0,       1.1,      49.0,       6.3,,,    1021.6,    1023.5,       1.9
강진군,259,01-06,       1.9,       6.4,      -2.2,       1.7,      65.4,       5.1,,,    1022.8,    1024.4,       2.9
장흥,260,01-06,       1.4,       6.8,      -3.5,       1.2,      65.4,       5.1,,,    1018.8,    1024.3,       2.6
해남,261,01-06,       1.8,       6.7,      -3.0,       1.1,      68.8,       5.0,,,    1022.5,    1024.7,       2.5
고흥,262,01-06,       1.9,       7.4,      -3.1,       1.1,      61.6,       5.3,,,    1017.5,    1024.1,       2.1
